PAYM,PAYM_I,PAYM_D,PAYM_A,PAYM_R,Press.Direct,Press.Brand,OOH Spend,Radio,TV,Display.Direct,Display.Brand,FTSE ,Libor,Consumer_Conf,InfRate,VF.Share,Con.VF.Yes,Con.VF.No,BAS.VF,VF.Emotion,VF.Perf.Support,Sales.Season,Natural.Season,Vodafone_A,Vodafone_B,Vodafone_C,Vodafone_D,O2_A_diff,O2_B_diff,O2_D_diff,Orange_B_diff,Orange_D_diff,T-Mobile_B_diff
47525,8922,38603,19102,28423,102884.29,0.00000001,0.00000001,0.00000001,61053.15,0.00000001,0.00000001,6015.4,0.782,-29,0.1,0.200743494,79,20.5,95.6,36.16579819,3.141400099,Launch,Winter,10,23.33,36.25,65,0,1.67,-3,0.33,10,-0.56
53882,11904,41978,21619,32263,220030.5,16682,0.00000001,29377.5,61053.15,90,0.00000001,6009.4,0.782,-29,0.1,0.200743494,79,20.5,95.6,36.16579819,3.141400099,Launch,Winter,10,23.33,36.25,65,0,1.67,-3,0.33,10,-0.56
56885,13591,43294,25282,31603,145697.54,55615,167696,108737.8,61053.15,13410,0.00000001,5956.6,0.782,-29,0.1,0.200743494,79,20.5,95.6,36.16579819,3.141400099,Launch,Winter,10,23.57,38.33,65,0,0.71,-3,0.1,10,-0.79
53405,12522,40883,26416,26989,226198.34,67303,167696,81646.37,61053.15,21525,0.00000001,5935.46,0.782,-29,0.1,0.200743494,79,20.5,97.3143,36.16579819,3.141400099,Launch,Winter,10,23.57,38.33,65,0,0.71,-3,0.1,10,-0.79
53253,14579,38674,24350,28903,153719.18,96523,354231.79,81646.37,210575.5,19455,0.00000001,5960.3,0.7898571,-28.2857143,0.5285714,0.202372254,79,20.5,98,37.10965783,3.81797157,Post_Launch,Winter,10,23,38.33,65,0,1.29,-3,0.67,10,-0.22
51242,11826,39416,24363,26879,284116.61,171346,190655.79,3962.27,322717.26,1965,0.00000001,6055.5,0.793,-28,0.7,0.203023758,79,20.5,98,37.48720169,4.088600159,Post_Launch,Winter,10,23,38.33,65,0,1.29,-3,0.67,10,-0.22
50690,12143,38547,23460,27230,117489.87,36146,365421.1,3962.27,322717.26,22620,0.00000001,6070.58,0.793,-28,0.7,0.203023758,81.4,21.5,98,37.48720169,4.088600159,Post_Launch,Winter,10,23,38.33,65,0,1.29,-3,0.67,10,-0.22
55151,13281,41870,26061,29090,279563.37,125188,337991.1,28698.77,322717.26,23085,0.00000001,5971.26,0.793,-28,0.7,0.203023758,81.4,21.5,96.5,37.48720169,4.088600159,Post_Launch,Winter,10,23.53,40,65,0,0.76,-3,0.14,10,-0.75
57360,14431,42929,27433,29927,116954.89,47599,251365.49,34180.77,235442.82,34225,0.00000001,5968.04,0.7837143,-28,0.4142857,0.21782414,81.4,21.5,95.9,36.45477295,4.776957171,Post_Launch,Winter,10,23.53,40,65,0,0.76,-3,0.14,10,-0.75
51582,11523,40059,23161,28421,272508.08,133566,30915.48,13616.07,169986.99,29225,0.00000001,5911.98,0.78,-28,0.3,0.223744292,81.4,21.5,95.9,36.04180145,5.052299976,Post_Launch,Winter,10,23.53,40,65,0,0.76,-3,0.14,10,-0.75
51664,11678,39986,24406,27258,122112.34,29208,162665.48,2286.07,169986.99,27510,0.00000001,5696.58,0.78,-28,0.3,0.223744292,81.4,21.5,95.9,36.04180145,5.052299976,Post_Launch,Winter,10,23,38.33,65,0,1.29,-3,0.21,10,-0.22
55717,15196,40521,24959,30758,193250.3,47264,134332.14,2286.07,169986.99,22455,0.00000001,5825.28,0.78,-28,0.3,0.223744292,79.4,21.6,96.3286,36.04180145,5.052299976,Post_Launch,Winter,10,23,38.33,65,0,1.29,-3,0.21,10,-0.22
56215,15591,40624,27069,29146,172915.88,34067,134332.14,13281.33,155654.05,56920,0.00000001,5940.74,0.7771429,-28.8571429,0.5,0.220423412,79.4,21.6,97.4,35.98328727,4.196871417,Post_Launch,Spring,10,23,38.33,65,0,1.29,-3,0.21,10,-0.22
51147,12539,38608,24024,27123,307594,0.00000001,0.00000001,35941.33,69656.44,19175,0.00000001,6025.68,0.77,-31,1,0.212121212,79.4,21.6,97.4,35.8370018,2.058300018,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
51980,11847,40133,23911,28069,139994.3,8190,0.00000001,2286.07,69656.44,29530,0.00000001,5997.62,0.77,-31,1,0.212121212,79.4,21.6,97.4,35.8370018,2.058300018,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
45427,10131,35296,20810,24617,313899.05,15952,0.00000001,2286.07,69656.44,24790,0.00000001,5951.9,0.77,-31,1,0.212121212,79.4,21.6,97.4,35.8370018,2.058300018,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
43458,9439,34019,20283,23175,64506.05,0.00000001,0.00000001,2286.07,69656.44,39535,0.00000001,6069.166667,0.77,-31,1,0.212121212,75.7,21.2,95.7,35.8370018,2.058300018,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
52996,10438,42558,24241,28755,201064.85,0.00000001,0.00000001,2286.07,145744.26,6105,0.00000001,5990.95,0.739,-21,0.2,0.196491228,75.7,21.2,95.7,33.53319931,2.097899914,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
60607,12042,48565,26497,34110,165938.75,0.00000001,0.00000001,62804.07,158425.56,26055,0.00000001,5961.7,0.739,-21,0.2,0.196491228,75.7,21.2,95.7,33.53319931,2.097899914,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
57842,11474,46368,26344,31498,334390.28,5984,0.00000001,62804.07,158425.56,25905,0.00000001,5922.54,0.739,-21,0.2,0.196491228,75.7,21.2,95.7,33.53319931,2.097899914,Post_Launch,Spring,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
62101,14542,47559,27086,35015,261405.95,16076,133384.25,62804.07,158425.56,53600.28,0.00000001,5876.86,0.739,-21,0.2,0.196491228,75.7,21.2,96.5,33.53319931,2.097899914,Post_Launch,Spring,10,23.53,38.89,65,2,0.89,-3,0.59,10,0.61
56851,13979,42872,25921,30930,320298.91,25223,424816.58,141138.4,231926.28,34305.09,0.00000001,5905.375,0.7321429,-23.2857143,0.0285714,0.199725119,76.9,16.4,97.1,35.18039867,3.746414253,Post_Launch,Spring,10,23.53,38.89,65,2,0.89,-3,0.59,10,0.61
59791,12015,47776,27644,32147,154086.77,86188,424816.58,141138.4,329927.25,101293.06,0.00000001,5831.76,0.727,-25,-0.1,0.202150538,76.9,16.4,97.1,36.41579819,4.982800007,Post_Launch,Spring,10.5,24.05,39.05,65,1.5,0.38,-3,0.07,10,-0.41
59814,12654,47160,27127,32687,324014.69,127291,556604.36,80620.4,329927.25,227757.71,0.00000001,5746.56,0.727,-25,-0.1,0.202150538,76.9,16.4,97.1,36.41579819,4.982800007,Pre_Launch,Spring,10.5,24.05,39.05,65,1.5,0.38,-3,0.07,10,-0.41
60249,14023,46226,27107,33142,238257.02,95863,347292.11,79298.4,329927.25,289965.04,0.00000001,5722.76,0.727,-25,-0.1,0.202150538,76.9,16.4,96.9,36.41579819,4.982800007,Pre_Launch,Spring,10.5,24.05,39.05,65,1.5,0.38,-3,0.07,10,-0.41
60614,16404,44210,28215,32399,148688,126528,457129.56,79298.4,336573.31,310019.37,0.00000001,5856.14,0.727,-26.4285714,-0.0714286,0.197230815,76.9,16.4,96.4,36.57974189,4.499971458,Pre_Launch,Summer,10.5,24.13,38.57,65,1.5,0.29,-3,-0.02,10,-0.5
56525,11168,45357,26205,30320,142379.82,156206,224241.49,79298.4,376449.71,107500.22,0.00000001,6017.9,0.727,-30,0,0.184931507,76,19.2,96.4,36.98960114,3.292900085,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
58864,12033,46831,26691,32173,276433.81,32207,515018.49,79298.4,376449.71,235566.86,0.00000001,5879.06,0.727,-30,0,0.184931507,76,19.2,96.4,36.98960114,3.292900085,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
57793,12063,45730,26574,31219,144937.79,34074,393985.16,21288.4,376449.71,281867.38,0.00000001,5846.3,0.727,-30,0,0.184931507,76,19.2,96.4,36.98960114,3.292900085,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
60423,15909,44514,27967,32456,210070.42,46525,393985.16,30234.9,376449.71,312449.9,0.00000001,5880,0.727,-30,0,0.184931507,76,19.2,96.5714,36.98960114,3.292900085,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
57109,13423,43686,26385,30724,106687.21,31359,0.00000001,11232.57,132890.38,308073.81,0.00000001,5543.48,0.7698571,-30.8571429,0.5142857,0.182940526,82.8,19.5,97.35099338,36.67580087,2.542985712,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
58359,12731,45628,26940,31419,199110.18,51319,23450,4286.07,35466.65,237857.96,0.00000001,5144.78,0.777,-31,0.6,0.182608696,81.8,21.5,95.83333333,36.62350082,2.417999983,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,20.5,0.01
59424,13597,45827,27179,32245,120574.27,88933,23450,17146.16,35466.65,178859.64,0.00000001,5234.56,0.777,-31,0.6,0.182608696,88.5,13.6,98.70967742,36.62350082,2.417999983,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
56621,12593,44028,26165,30456,227666.77,131752,23450,73258.66,35466.65,231775.34,0.00000001,5138.32,0.777,-31,0.6,0.182608696,72,25,94,36.62350082,2.417999983,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,-0.55,0.36,-0.52,15.5,-0.5
57490,14172,43318,26468,31022,81964.82,101403,23450,73258.66,118661.58,115031.89,0.00000001,5343.45,0.801,-30.5714286,0.6,0.182755904,90.5,18.1,97.43589744,35.88477162,2.285571405,Pre_Launch,Summer,11.75,24.13,40.78,59.5,0.25,-0.55,0.36,-0.52,15.5,-0.5
59983,13680,46303,28625,31358,200833.31,115984,414143.33,106692.3,326648.93,175392.37,0.00000001,5226.6,0.833,-30,0.6,0.182952183,69.6,23.7,95.12195122,34.89979935,2.108999968,Pre_Launch,Summer,11.75,24.13,40.68,59.5,0.25,-0.55,0.36,-0.52,15.5,0.01
60089,14164,45925,28779,31310,130178.68,32513,390693.33,106692.3,326648.93,181972.82,0.00000001,5247.36,0.833,-30,0.6,0.182952183,76.2,21.5,95,34.89979935,2.108999968,Pre_Launch,Summer,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-0.52,15.5,0.01
55258,13631,41627,27086,28172,210940.12,56616,442693.33,15146.16,326648.93,277851.86,0.00000001,5204.02,0.833,-30,0.6,0.182952183,85,22.1,94.54545455,34.89979935,2.108999968,Pre_Launch,Summer,11.75,24.13,40.6,59.5,0.25,-0.55,0.36,-0.52,15.5,0.01
