Week,Date,PAYM,Press.Direct,Press.Brand,OOH Spend,Radio,TV,Display.Direct,Display.Brand,FTSE ,Libor,Consumer_Conf,InfRate,VF.Share,Con.VF.Yes,Con.VF.No,BAS.VF,VF.Emotion,VF.Perf.Support,i.Phone,NS.Winter,NS.Spring,NS.Summer,Vodafone_A,Vodafone_B,Vodafone_C,Vodafone_D,O2_A_diff,O2_B_diff,O2_D_diff,Orange_B_diff,Orange_D_diff,T-Mobile_B_diff
4,1/24/2011,53405,145697.54,0,167696,0,61053.15,90,107733.9284,5935.46,0.782,-29,0.1,0.200743494,79,20.5,97.3143,36.16579819,3.141400099,0,1,0,0,10,23.57,38.33,65,0,0.71,-3,0.1,10,-0.79
5,1/31/2011,53253,226198.34,16682,167696,29377.5,61053.15,13410,107733.9284,5960.3,0.7898571,-28.2857143,0.5285714,0.202372254,79,20.5,98,37.10965783,3.81797157,0,1,0,0,10,23,38.33,65,0,1.29,-3,0.67,10,-0.22
6,2/7/2011,51242,153719.18,55615,354231.79,108737.8,61053.15,21525,107733.9284,6055.5,0.793,-28,0.7,0.203023758,79,20.5,98,37.48720169,4.088600159,0,1,0,0,10,23,38.33,65,0,1.29,-3,0.67,10,-0.22
7,2/14/2011,50690,284116.61,67303,190655.79,81646.37,61053.15,19455,107733.9284,6070.58,0.793,-28,0.7,0.203023758,81.4,21.5,98,37.48720169,4.088600159,0,1,0,0,10,23,38.33,65,0,1.29,-3,0.67,10,-0.22
8,2/21/2011,55151,117489.87,96523,365421.1,81646.37,210575.5,1965,107733.9284,5971.26,0.793,-28,0.7,0.203023758,81.4,21.5,96.5,37.48720169,4.088600159,0,1,0,0,10,23.53,40,65,0,0.76,-3,0.14,10,-0.75
9,2/28/2011,57360,279563.37,171346,337991.1,3962.27,322717.26,22620,107733.9284,5968.04,0.7837143,-28,0.4142857,0.21782414,81.4,21.5,95.9,36.45477295,4.776957171,0,1,0,0,10,23.53,40,65,0,0.76,-3,0.14,10,-0.75
10,3/7/2011,51582,116954.89,36146,251365.49,3962.27,322717.26,23085,107733.9284,5911.98,0.78,-28,0.3,0.223744292,81.4,21.5,95.9,36.04180145,5.052299976,0,1,0,0,10,23.53,40,65,0,0.76,-3,0.14,10,-0.75
11,3/14/2011,51664,272508.08,125188,30915.48,28698.77,322717.26,34225,107733.9284,5696.58,0.78,-28,0.3,0.223744292,81.4,21.5,95.9,36.04180145,5.052299976,0,1,0,0,10,23,38.33,65,0,1.29,-3,0.21,10,-0.22
12,3/21/2011,55717,122112.34,47599,162665.48,34180.77,235442.82,29225,107733.9284,5825.28,0.78,-28,0.3,0.223744292,79.4,21.6,96.3286,36.04180145,5.052299976,0,1,0,0,10,23,38.33,65,0,1.29,-3,0.21,10,-0.22
13,3/28/2011,56215,193250.3,133566,134332.14,13616.07,169986.99,27510,107733.9284,5940.74,0.7771429,-28.8571429,0.5,0.220423412,79.4,21.6,97.4,35.98328727,4.196871417,0,0,1,0,10,23,38.33,65,0,1.29,-3,0.21,10,-0.22
14,4/4/2011,51147,172915.88,29208,134332.14,2286.07,169986.99,22455,107733.9284,6025.68,0.77,-31,1,0.212121212,79.4,21.6,97.4,35.8370018,2.058300018,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
15,4/11/2011,51980,307594,47264,0,2286.07,169986.99,56920,107733.9284,5997.62,0.77,-31,1,0.212121212,79.4,21.6,97.4,35.8370018,2.058300018,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
16,4/18/2011,45427,139994.3,34067,0,13281.33,155654.05,19175,107733.9284,5951.9,0.77,-31,1,0.212121212,79.4,21.6,97.4,35.8370018,2.058300018,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
17,4/25/2011,43458,313899.05,0,0,35941.33,69656.44,29530,107733.9284,6069.166667,0.77,-31,1,0.212121212,75.7,21.2,95.7,35.8370018,2.058300018,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
18,5/2/2011,52996,64506.05,8190,0,2286.07,69656.44,24790,107733.9284,5990.95,0.739,-21,0.2,0.196491228,75.7,21.2,95.7,33.53319931,2.097899914,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
19,5/9/2011,60607,201064.85,15952,0,2286.07,69656.44,39535,107733.9284,5961.7,0.739,-21,0.2,0.196491228,75.7,21.2,95.7,33.53319931,2.097899914,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
20,5/16/2011,57842,165938.75,0,0,2286.07,69656.44,6105,107733.9284,5922.54,0.739,-21,0.2,0.196491228,75.7,21.2,95.7,33.53319931,2.097899914,0,0,1,0,10,23,38.33,65,2,0.55,-3,0.67,10,-0.22
21,5/23/2011,62101,334390.28,0,0,2286.07,145744.26,26055,107733.9284,5876.86,0.739,-21,0.2,0.196491228,75.7,21.2,96.5,33.53319931,2.097899914,0,0,1,0,10,23.53,38.89,65,2,0.89,-3,0.59,10,0.61
22,5/30/2011,56851,261405.95,0,133384.25,62804.07,158425.56,25905,107733.9284,5905.375,0.7321429,-23.2857143,0.0285714,0.199725119,76.9,16.4,97.1,35.18039867,3.746414253,0,0,1,0,10,23.53,38.89,65,2,0.89,-3,0.59,10,0.61
23,6/6/2011,59791,320298.91,5984,424816.58,62804.07,158425.56,53600.28,107733.9284,5831.76,0.727,-25,-0.1,0.202150538,76.9,16.4,97.1,36.41579819,4.982800007,0,0,1,0,10.5,24.05,39.05,65,1.5,0.38,-3,0.07,10,-0.41
24,6/13/2011,59814,154086.77,16076,424816.58,62804.07,158425.56,34305.09,107733.9284,5746.56,0.727,-25,-0.1,0.202150538,76.9,16.4,97.1,36.41579819,4.982800007,0,0,1,0,10.5,24.05,39.05,65,1.5,0.38,-3,0.07,10,-0.41
25,6/20/2011,60249,324014.69,25223,556604.36,141138.4,231926.28,101293.06,107733.9284,5722.76,0.727,-25,-0.1,0.202150538,76.9,16.4,96.9,36.41579819,4.982800007,0,0,1,0,10.5,24.05,39.05,65,1.5,0.38,-3,0.07,10,-0.41
26,6/27/2011,60614,238257.02,86188,347292.11,141138.4,329927.25,227757.71,107733.9284,5856.14,0.727,-26.4285714,-0.0714286,0.197230815,76.9,16.4,96.4,36.57974189,4.499971458,0,0,0,1,10.5,24.13,38.57,65,1.5,0.29,-3,-0.02,10,-0.5
27,7/4/2011,56525,148688,127291,457129.56,80620.4,329927.25,289965.04,107733.9284,6017.9,0.727,-30,0,0.184931507,76,19.2,96.4,36.98960114,3.292900085,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
28,7/11/2011,58864,142379.82,95863,224241.49,79298.4,329927.25,310019.37,107733.9284,5879.06,0.727,-30,0,0.184931507,76,19.2,96.4,36.98960114,3.292900085,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
29,7/18/2011,57793,276433.81,126528,515018.49,79298.4,336573.31,107500.22,107733.9284,5846.3,0.727,-30,0,0.184931507,76,19.2,96.4,36.98960114,3.292900085,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
30,7/25/2011,60423,144937.79,156206,393985.16,79298.4,376449.71,235566.86,107733.9284,5880,0.727,-30,0,0.184931507,76,19.2,96.5714,36.98960114,3.292900085,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
31,8/1/2011,57109,210070.42,32207,393985.16,79298.4,376449.71,281867.38,107733.9284,5543.48,0.7698571,-30.8571429,0.5142857,0.182940526,82.8,19.5,97.35099338,36.67580087,2.542985712,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,15.5,-0.5
32,8/8/2011,58359,106687.21,34074,0,21288.4,376449.71,312449.9,107733.9284,5144.78,0.777,-31,0.6,0.182608696,81.8,21.5,95.83333333,36.62350082,2.417999983,0,0,0,1,11.75,24.13,40.78,59.5,0.25,0.29,2.25,-0.52,20.5,0.01
