Week,Date,PAYM,Press.Direct,Press.Brand,OOH Spend,Radio,TV,Display.Direct,Display.Brand,FTSE ,Libor,Consumer_Conf,InfRate,VF.Share,Con.VF.Yes,Con.VF.No,BAS.VF,VF.Emotion,VF.Perf.Support,i.Phone,NS.Winter,NS.Spring,NS.Summer,Vodafone_A,Vodafone_B,Vodafone_C,Vodafone_D,O2_A_diff,O2_B_diff,O2_D_diff,Orange_B_diff,Orange_D_diff,T-Mobile_B_diff
149,11/4/2013,67702,201203.06,357244,181303.27,21932.52632,0,0,88761.00386,6763.6,0.59,-12,0.1,0.186440678,87,17,88.20224719,29.28089905,2.621700048,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
150,11/11/2013,74969,174467.28,191572,265961.08,51175.89474,0,0,83803.08871,6728.4,0.59,-12,0.1,0.186440678,77.8,20.6,90.51724138,29.28089905,2.621700048,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
151,11/18/2013,66490,220361.51,116880,249853.5,51175.89474,103157.8947,9194.029934,75568.72143,6723.5,0.59,-12,0.1,0.186440678,57.9,13.5,89.81481481,29.28089905,2.621700048,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
152,11/25/2013,52755,117303.67,70245,249853.5,63008.78098,490655.0853,21452.73651,80284.25014,6694.6,0.59,-12,0.1,0.186440678,63.6,22.1,88.63636364,29.28089905,2.621700048,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
153,12/2/2013,118732,159357.41,36636,249853.5,103718.5784,512255.4942,53329.07435,75305.48829,6595.3,0.58,-13,0.5,0.198198198,78.6,19,94.25287356,29.80660057,2.94659996,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
154,12/9/2013,67699,122839.62,162478,159744,111596.406,512255.4942,89795.11522,84391.13943,6559.5,0.58,-13,0.5,0.198198198,81,18.9,91.37931034,29.80660057,2.94659996,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
155,12/16/2013,137458,103826.32,264223,144725.75,111596.406,512255.4942,128900.3651,109504.7126,6522.2,0.58,-13,0.5,0.198198198,78.6,17.1,89.43089431,29.80660057,2.94659996,0,0,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
156,12/23/2013,93908,39349.92,200978,245604.39,87402.85762,512255.4942,97570.21343,148000.1314,6678.6,0.58,-13,0.5,0.198198198,63.9,18.5,89.24731183,29.80660057,2.94659996,0,1,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
157,12/30/2013,72360,187696.8,55262,262417.5,15755.65517,202781.81,57900.46812,119257.2601,6731.3,0.58,-13,0.5,0.209906584,81.8,19.8,88.19444444,30.25642858,3.031285695,0,1,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
158,1/6/2014,77143,177777.4,0,250248.21,0,151202.8626,33363.18275,87026.91629,6730.7,0.58,-7,-0.8,0.218687873,75,11.9,85.6,30.59379959,3.094799995,0,1,0,0,13,25,39.86,53.25,0,0.58,-1.25,-1.38,-1.25,-2.32
159,1/13/2014,59479,170883.4,204175,248220,0,334495.1703,15028.96262,74580.13043,6757.2,0.58,-7,-0.8,0.218687873,76.2,21.4,84.31372549,30.59379959,3.094799995,0,1,0,0,13,25,39.86,53.25,0,-0.28,-1.25,-1.45,-0.26,-1.01
160,1/20/2014,78110,81435.6,149021,201731.57,27906.97674,299810.0487,0,65401.98257,6836.7,0.58,-7,-0.8,0.218687873,90.9,17.2,87.67123288,30.59379959,3.094799995,0,1,0,0,13,25,39.86,53.25,0,-0.28,-1.25,-1.45,-0.26,-1.01
161,1/27/2014,76803,210908.6,153325,152613.5,48837.2093,36658.46154,0,106788.8867,6550.7,0.58,-7,-0.8,0.218687873,73.3,23,90.38461538,30.59379959,3.094799995,0,1,0,0,13,25,39.86,53.25,0,-0.28,-1.25,-1.45,-0.26,-0.65
